order_no,order_date,customer name,address,city,state,customer_type,account_id,order_priority,product_id,product_container,ship_mode,ship_date,cost_price,retail_price,order_quantity,sub_total,discount_%,discount_$,order_total,shipping_cost,total
5402-1,2/7/2014,Logan Haushalter,"222 Barkly St,St Kilda",Melbourne,VIC,Corporate,9,Low,113,Large Box,Regular Air,2/16/2014,377.99,599.99,48,28799.52,0.08,2303.96,28799.44,24.49,28823.93
5402-2,2/7/2014,Logan Haushalter,"222 Barkly St,St Kilda",Melbourne,VIC,Corporate,9,Low,114,Wrap Bag,Express Air,2/12/2014,2.59,3.98,11,43.78,0.1,4.38,43.68,2.97,46.65
5404-1,2/9/2014,Susan MacKendrick,"53 Riley Street,Woolloomooloo",Sydney,NSW,Corporate,1,Low,81,Small Box,Regular Air,2/13/2014,2.26,3.58,42,150.36,0.01,1.5,150.35,5.47,155.82
5405-1,2/10/2014,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Small Business,8,Critical,25,Medium Box,Regular Air,2/11/2014,8.82,20.99,42,881.58,0.07,61.71,881.51,4.81,886.32
5407-1,2/10/2014,Elpida Rittenbach,"163 Concord Road,North Strathfield",Sydney,NSW,Consumer,10,Low,115,Small Box,Express Air,2/12/2014,52.07,83.98,9,755.82,0.05,37.79,755.77,5.01,760.78
5409-1,2/12/2014,Julie Prescott,"438 Victoria Avenue,Chatswood",Sydney,NSW,Home Office,6,High,72,Large Box,Regular Air,2/13/2014,216,449.99,5,2249.95,0.02,45,2249.93,24.49,2274.42
5411-1,2/13/2014,Steve Nguyen,"61 York St,Sydney",Sydney,NSW,Consumer,5,High,116,Wrap Bag,Regular Air,2/13/2014,2.16,3.85,31,119.35,0.09,10.74,119.26,0.7,119.96
5413-1,2/15/2014,Sandra Glassco,"224A Gertrude St,Fitzroy",Melbourne,VIC,Home Office,8,Medium,117,Wrap Bag,Regular Air,2/16/2014,1.15,2.67,19,50.73,0.03,1.52,50.7,0.86,51.56
5415-1,2/15/2014,Yana Sorensen,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,1,Low,118,Wrap Bag,Express Air,2/20/2014,1.57,3.28,44,144.32,0,0,144.32,0.98,145.3
5416-1,2/16/2014,Pamela Coakley,"120 Hardware St,Melbourne",Melbourne,VIC,Corporate,9,High,25,Medium Box,Regular Air,2/18/2014,8.82,20.99,24,503.76,0.01,5.04,503.75,4.81,508.56
5418-1,2/22/2014,Amy Cox,"523 King St,Newtown",Sydney,NSW,Corporate,7,Critical,119,Small Pack,Regular Air,2/23/2014,4.19,10.23,9,92.07,0.07,6.44,92,4.68,96.68
5420-1,2/22/2014,Sanjit Jacobs,"541 Church St,Richmond",Melbourne,VIC,Consumer,9,High,85,Wrap Bag,Regular Air,2/23/2014,0.93,1.48,46,68.08,0,0,68.08,0.7,68.78
5421-1,2/22/2014,Grant Thornton,"98 Holdsworth Street,Woollahra",Sydney,NSW,Corporate,6,High,66,Small Box,Regular Air,2/23/2014,21.56,35.94,13,467.22,0.03,14.02,467.19,6.66,473.85
5423-1,2/23/2014,Erica Hackney,"221 Barkly St,St Kilda",Melbourne,VIC,Small Business,9,Medium,91,Small Box,Regular Air,2/26/2014,42.11,80.98,45,3644.1,0,0,3644.1,7.18,3651.28
5424-1,2/24/2014,Chad McGuire,"73 MacLeay St,Potts Point",Sydney,NSW,Small Business,6,Critical,67,Small Box,Regular Air,2/25/2014,2.74,4.49,6,26.94,0.03,0.81,26.91,1.49,28.4
5426-1,2/24/2014,Pauline Chand,"501 George St,Sydney",Sydney,NSW,Small Business,2,Not Specified,24,Wrap Bag,Regular Air,2/26/2014,2.52,4,33,132,0.08,10.56,131.92,1.3,133.22
5428-1,2/25/2014,Bobby Elias,"506 Swan Street,Richmond",Melbourne,VIC,Small Business,8,Not Specified,118,Wrap Bag,Regular Air,2/26/2014,1.57,3.28,26,85.28,0.08,6.82,85.2,0.98,86.18
5430-1,2/25/2014,Gary Hwang,"60 York St,Sydney",Sydney,NSW,Home Office,10,Critical,33,Wrap Bag,Regular Air,2/27/2014,3.47,6.68,33,220.44,0.03,6.61,220.41,1.5,221.91
5432-1,2/28/2014,Lena Radford,"4A Lyons St,Strathfield",Sydney,NSW,Small Business,1,Medium,5,Wrap Bag,Regular Air,3/1/2014,0.9,2.1,21,44.1,0.04,1.76,44.06,0.7,44.76
5433-1,3/2/2014,Edward Nazzal,"2a/285A Crown St,Surry Hills",Sydney,NSW,Home Office,4,Medium,83,Small Box,Regular Air,3/3/2014,18.38,29.17,1,29.17,0.02,0.58,29.15,6.27,35.42
5434-1,3/6/2014,Delfina Latchford,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Small Business,8,Critical,75,Small Box,Regular Air,3/7/2014,4.46,10.89,32,348.48,0.1,34.85,348.38,4.5,352.88
5435-1,3/10/2014,Adam Hart,"2a/285A Crown St,Surry Hills",Sydney,NSW,Corporate,4,Not Specified,77,Small Box,Regular Air,3/11/2014,1.94,3.08,1,3.08,0.08,0.25,3,0.99,3.99
5436-1,3/11/2014,Rick Duston,"260 Marrickville Rd,Marrickville",Sydney,NSW,Corporate,12,Medium,120,Small Box,Regular Air,3/12/2014,52.04,83.93,50,4196.5,0.1,419.65,4196.4,19.99,4216.39
5438-1,3/12/2014,Matt Collister,"99 Glebe Point Rd,Glebe",Sydney,NSW,Home Office,6,High,50,Small Box,Express Air,3/13/2014,60.59,100.98,5,504.9,0.02,10.1,504.88,7.18,512.06
5439-1,3/13/2014,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Corporate,8,Low,40,Wrap Bag,Regular Air,3/13/2014,3.75,7.08,34,240.72,0.03,7.22,240.69,2.35,243.04
5440-1,3/15/2014,Toby Swindell,"273 George Street,Sydney",Sydney,NSW,Small Business,5,Critical,84,Small Box,Regular Air,3/15/2014,3.5,5.74,45,258.3,0,0,258.3,5.01,263.31
5442-1,3/17/2014,Troy Blackwell,"3/219 Canley Vale Road,Canley Heights",Sydney,NSW,Home Office,3,Critical,7,Wrap Bag,Regular Air,3/18/2014,1.09,2.6,43,111.8,0.01,1.12,111.79,2.4,114.19
5444-1,3/17/2014,Carl Ludwig,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Corporate,5,Not Specified,49,Small Box,Regular Air,3/18/2014,8.92,29.74,25,743.5,0,0,743.5,6.64,750.14
5445-1,3/17/2014,Chad Cunningham,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Small Business,9,Not Specified,121,Small Box,Regular Air,3/18/2014,21.97,35.44,21,744.24,0,0,744.24,4.92,749.16
5446-1,3/19/2014,Michael Paige,"506 Swan Street,Richmond",Melbourne,VIC,Small Business,8,Critical,81,Small Box,Regular Air,3/21/2014,2.26,3.58,39,139.62,0,0,139.62,5.47,145.09
5448-1,3/21/2014,Justin Ellison,"163 Concord Road,North Strathfield",Sydney,NSW,Home Office,10,Low,77,Small Box,Regular Air,3/26/2014,1.94,3.08,5,15.4,0.06,0.92,15.34,0.99,16.33
5449-1,3/28/2014,Dionis Lloyd,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Small Business,3,High,98,Small Box,Regular Air,3/28/2014,11.04,16.98,31,526.38,0.03,15.79,526.35,12.39,538.74
5450-1,3/29/2014,Ralph Knight,"5/63-71 Enmore Rd,Newtown",Sydney,NSW,Consumer,10,Not Specified,97,Small Box,Regular Air,3/30/2014,4.53,7.3,18,131.4,0.05,6.57,131.35,7.72,139.07
5451-1,3/31/2014,Roland Murray,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Home Office,12,Not Specified,68,Wrap Bag,Regular Air,3/31/2014,4.37,9.11,1,9.11,0.1,0.91,9.01,2.25,11.26
5453-1,4/1/2014,Anne Pryor,"1-2/299 Sussex St,Sydney",Sydney,NSW,Consumer,7,Critical,99,Small Pack,Regular Air,4/2/2014,16.8,40.97,44,1802.68,0.08,144.21,1802.6,8.99,1811.59
5455-1,4/2/2014,Rob Haberlin,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,8,Medium,122,Small Box,Regular Air,4/4/2014,7.13,20.98,39,818.22,0.04,32.73,818.18,5.42,823.6
5456-1,4/2/2014,Patrick Bzostek,"1/50-58 Hunter St,Sydney",Sydney,NSW,Consumer,14,Critical,82,Small Pack,Regular Air,4/4/2014,1.46,3.57,41,146.37,0.03,4.39,146.34,4.17,150.51
5457-1,4/3/2014,Alex Grayson,"644 George St,Sydney",Sydney,NSW,Consumer,13,Medium,123,Wrap Bag,Regular Air,4/5/2014,2.13,3.49,46,160.54,0.01,1.61,160.53,0.76,161.29
5458-1,4/4/2014,Jesus Ocampo,"60 Commercial Rd,Prahran",Melbourne,VIC,Small Business,9,Not Specified,44,Small Box,Regular Air,4/5/2014,3.84,6.3,18,113.4,0.1,11.34,113.3,0.5,113.8
5460-1,4/6/2014,Steve Chapman,"1/50-58 Hunter St,Sydney",Sydney,NSW,Corporate,14,Low,124,Wrap Bag,Regular Air,4/11/2014,1.05,1.95,31,60.45,0.02,1.21,60.43,1.63,62.06
5461-1,4/7/2014,Mike Kennedy,"99 Lygon Street,East Brunswick",Melbourne,VIC,Corporate,8,Critical,71,Wrap Bag,Regular Air,4/7/2014,0.24,1.26,35,44.1,0.09,3.97,44.01,0.7,44.71
5463-1,4/7/2014,Carlos Daly,"5/63-71 Enmore Rd,Newtown",Sydney,NSW,Home Office,10,Not Specified,125,Jumbo Drum,Delivery Truck,4/7/2014,315.61,500.97,31,15530.07,0.06,931.8,15530.01,69.3,15599.31
5465-1,4/7/2014,Harold Dahlen,"53-55 Liverpool St,Sydney",Sydney,NSW,Corporate,1,Medium,113,Large Box,Regular Air,4/9/2014,377.99,599.99,30,17999.7,0.09,1619.97,17999.61,24.49,18024.1
5467-1,4/11/2014,Brenda Bowman,"73 York St,Sydney",Sydney,NSW,Small Business,1,Medium,7,Wrap Bag,Regular Air,4/12/2014,1.09,2.6,2,5.2,0.03,0.16,5.17,2.4,7.57
5469-1,4/15/2014,Xylona Price,"98-104 Parramatta Rd,Camperdown",Sydney,NSW,Corporate,4,High,73,Small Box,Regular Air,4/16/2014,6.51,30.98,36,1115.28,0,0,1115.28,6.5,1121.78
5470-1,4/17/2014,Kelly Collister,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Consumer,9,High,17,Small Box,Regular Air,4/19/2014,4.59,7.28,11,80.08,0.07,5.61,80.01,11.15,91.16
5471-1,4/17/2014,Dean Percer,"222 Barkly St,St Kilda",Melbourne,VIC,Home Office,9,Medium,119,Small Pack,Regular Air,4/18/2014,4.19,10.23,22,225.06,0.07,15.75,224.99,4.68,229.67
5473-1,4/17/2014,Anemone Ratner,"157 Norton St,Leichhardt",Sydney,NSW,Small Business,11,Critical,16,Small Pack,Express Air,4/18/2014,3.42,8.34,16,133.44,0.04,5.34,133.4,2.64,136.04
5475-1,5/2/2014,Brian Stugart,"88 Oxford St,Woollahra",Sydney,NSW,Consumer,10,Low,126,Small Box,Regular Air,5/4/2014,84.22,210.55,32,6737.6,0.1,673.76,6737.5,9.99,6747.49
5476-1,5/2/2014,Michelle Tran,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Corporate,3,Not Specified,122,Small Box,Express Air,5/3/2014,7.13,20.98,14,293.72,0.1,29.37,293.62,5.42,299.04
5477-1,5/2/2014,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Home Office,1,Critical,46,Wrap Bag,Regular Air,5/3/2014,2.29,3.58,15,53.7,0.05,2.69,53.65,1.63,55.28
5478-1,5/3/2014,Liz Willingham,"60 Commercial Rd,Prahran",Melbourne,VIC,Home Office,9,Low,70,Wrap Bag,Regular Air,5/7/2014,1.31,2.84,48,136.32,0.1,13.63,136.22,0.93,137.15
5479-1,5/6/2014,Tracy Blumstein,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Home Office,1,Not Specified,81,Small Box,Regular Air,5/8/2014,2.26,3.58,25,89.5,0,0,89.5,5.47,94.97
5479-2,5/6/2014,Tracy Blumstein,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Home Office,1,Not Specified,12,Wrap Bag,Regular Air,5/8/2014,0.87,1.81,45,81.45,0.08,6.52,81.37,0.75,82.12
5483-1,5/8/2014,Ritsa Hightower,"1/160 Anzac Parade,Kensington",Sydney,NSW,Corporate,6,Low,85,Wrap Bag,Regular Air,5/13/2014,0.93,1.48,33,48.84,0.07,3.42,48.77,0.7,49.47
5485-1,5/8/2014,Michelle Moray,"310 Wattle St,Ultimo",Sydney,NSW,Corporate,7,Low,62,Small Box,Regular Air,5/12/2014,1.33,2.08,40,83.2,0,0,83.2,1.49,84.69
5487-1,5/9/2014,Jim Radford,"222 Barkly St,St Kilda",Melbourne,VIC,Corporate,9,Critical,88,Large Box,Regular Air,5/10/2014,56.16,136.98,44,6027.12,0.08,482.17,6027.04,24.49,6051.53
5489-1,5/11/2014,Aleksandra Gannaway,"Hoyts Entertainment Quarter 122 Lang Road,Moore Park",Sydney,NSW,Corporate,1,Medium,101,Wrap Bag,Regular Air,5/12/2014,5.22,9.85,20,197,0.06,11.82,196.94,4.82,201.76
5491-1,5/13/2014,Jennifer Patt,"523 King St,Newtown",Sydney,NSW,Home Office,7,Not Specified,127,Small Box,Regular Air,5/14/2014,2.76,4.38,29,127.02,0.08,10.16,126.94,6.21,133.15
5493-1,5/15/2014,Eric Barreto,"359 Crown Street,Surry Hills",Sydney,NSW,Consumer,4,Medium,77,Small Box,Regular Air,5/16/2014,1.94,3.08,9,27.72,0.01,0.28,27.71,0.99,28.7
5494-1,5/17/2014,Deborah Brumfield,"501 George St,Sydney",Sydney,NSW,Small Business,2,Not Specified,89,Small Pack,Regular Air,5/18/2014,5.19,12.98,20,259.6,0.04,10.38,259.56,3.14,262.7
5496-1,5/19/2014,Richard Eichhorn,"506 Swan Street,Richmond",Melbourne,VIC,Consumer,8,Medium,19,Small Pack,Express Air,5/20/2014,5.5,12.22,18,219.96,0.04,8.8,219.92,2.85,222.77
5497-1,5/19/2014,Juliana Krohn,"2/797 Botany Rd,Rosebery",Sydney,NSW,Corporate,2,Low,111,Wrap Bag,Express Air,5/24/2014,2.31,3.78,15,56.7,0.03,1.7,56.67,0.71,57.38
5498-1,5/25/2014,Clytie Kelty,"8 Khartoum Rd,Macquarie Park",Sydney,NSW,Small Business,13,Low,72,Jumbo Drum,Delivery Truck,5/29/2014,278.99,449.99,47,21149.53,0.1,2114.95,21149.43,49,21198.43
5500-1,5/29/2014,Ken Dana,"73 York St,Sydney",Sydney,NSW,Corporate,1,Low,29,Small Box,Regular Air,6/2/2014,32.02,152.48,49,7471.52,0.03,224.15,7471.49,4,7475.49
5502-1,5/29/2014,Andy Yotov,"33/4 Barangaroo Avenue,Sydney",Sydney,NSW,Corporate,6,High,36,Small Box,Regular Air,5/29/2014,13.88,22.38,26,581.88,0.07,40.73,581.81,15.1,596.91
5504-1,5/29/2014,Melanie Page,"541 Church St,Richmond",Melbourne,VIC,Corporate,9,Medium,31,Small Pack,Regular Air,5/29/2014,4.79,11.97,46,550.62,0.07,38.54,550.55,5.81,556.36
5505-1,6/2/2014,Arthur Gainer,"180 High Street,Windsor",Melbourne,VIC,Corporate,8,Critical,25,Medium Box,Regular Air,6/4/2014,8.82,20.99,10,209.9,0,0,209.9,4.81,214.71
5506-1,6/3/2014,Jeremy Lonsdale,"163 Concord Road,North Strathfield",Sydney,NSW,Corporate,10,Not Specified,128,Wrap Bag,Regular Air,6/4/2014,1.09,1.82,40,72.8,0.1,7.28,72.7,1,73.7
5507-1,6/3/2014,Christopher Martinez,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,1,High,40,Wrap Bag,Regular Air,6/5/2014,3.75,7.08,45,318.6,0.06,19.12,318.54,2.35,320.89
5508-1,6/4/2014,Frank Merwin,"24 Addison Rd,Marrickville",Sydney,NSW,Consumer,13,High,54,Small Box,Regular Air,6/5/2014,178.83,415.88,43,17882.84,0.07,1251.8,17882.77,11.37,17894.14
5510-1,6/4/2014,Dianna Wilson,"310 Wattle St,Ultimo",Sydney,NSW,Small Business,7,Not Specified,45,Small Box,Regular Air,6/5/2014,156.5,300.97,6,1805.82,0.04,72.23,1805.78,7.18,1812.96
5512-1,6/5/2014,Lindsay Castell,"Qantas Domestic Terminal,Mascot",Sydney,NSW,Corporate,4,Medium,48,Small Box,Regular Air,6/7/2014,12.39,19.98,10,199.8,0.1,19.98,199.7,5.77,205.47
5513-1,6/7/2014,Chuck Sachs,"1/41B Elizabeth Bay Rd,Elizabeth Bay",Sydney,NSW,Consumer,10,Medium,72,Jumbo Drum,Delivery Truck,6/8/2014,278.99,449.99,5,2249.95,0.01,22.5,2249.94,49,2298.94
5514-1,6/8/2014,John Lee,"180 High Street,Windsor",Melbourne,VIC,Corporate,8,Not Specified,81,Small Box,Express Air,6/10/2014,2.26,3.58,44,157.52,0.06,9.45,157.46,5.47,162.93
5516-1,6/9/2014,Anthony Rawles,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Small Business,3,High,105,Small Pack,Regular Air,6/9/2014,11.38,18.65,18,335.7,0.1,33.57,335.6,3.77,339.37
5518-1,6/13/2014,Fred Chung,"81 MacLeay St,Potts Point",Sydney,NSW,Corporate,2,Low,55,Small Box,Express Air,6/22/2014,19.83,30.98,46,1425.08,0.04,57,1425.04,19.51,1444.55
5520-1,6/16/2014,Julie Prescott,"438 Victoria Avenue,Chatswood",Sydney,NSW,Home Office,6,Low,22,Small Box,Regular Air,6/21/2014,3.52,5.68,32,181.76,0.1,18.18,181.66,1.39,183.05
5521-1,6/17/2014,Edward Becker,"501 George St,Sydney",Sydney,NSW,Home Office,2,Medium,42,Small Box,Regular Air,6/18/2014,1.18,1.88,19,35.72,0.07,2.5,35.65,1.49,37.14
5523-1,6/18/2014,Bill Donatelli,"359 Crown Street,Surry Hills",Sydney,NSW,Corporate,4,High,3,Wrap Bag,Regular Air,6/18/2014,2.41,3.71,39,144.69,0.06,8.68,144.63,1.93,146.56
5525-1,6/18/2014,Toby Swindell,"273 George Street,Sydney",Sydney,NSW,Small Business,5,Critical,129,Wrap Bag,Regular Air,6/18/2014,1.88,3.14,32,100.48,0.03,3.01,100.45,1.14,101.59
5526-1,6/19/2014,Barry Pond,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,8,Medium,37,Wrap Bag,Regular Air,6/21/2014,21.56,36.55,48,1754.4,0.07,122.81,1754.33,13.89,1768.22
5527-1,6/19/2014,Jim Mitchum,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Consumer,3,Not Specified,52,Small Pack,Regular Air,6/21/2014,20.18,35.41,21,743.61,0.01,7.44,743.6,1.99,745.59
5529-1,6/19/2014,Bruce Degenhardt,"501 George St,Sydney",Sydney,NSW,Home Office,2,High,8,Small Box,Regular Air,6/21/2014,99.39,162.93,16,2606.88,0.1,260.69,2606.78,19.99,2626.77
5531-1,6/22/2014,Luke Weiss,"88 Oxford St,Woollahra",Sydney,NSW,Corporate,10,Not Specified,88,Large Box,Express Air,6/24/2014,56.16,136.98,17,2328.66,0,0,2328.66,24.49,2353.15
5533-1,6/22/2014,Craig Leslie,"10 Bligh St,Melbourne",Melbourne,VIC,Consumer,10,Medium,109,Small Box,Express Air,6/24/2014,3.14,4.91,24,117.84,0.01,1.18,117.83,0.5,118.33
5534-1,6/23/2014,Frank Hawley,"Shop 1 797 Botany Rd,Rosebery",Sydney,NSW,Home Office,4,Medium,130,Small Box,Regular Air,6/23/2014,1.84,2.88,8,23.04,0.07,1.61,22.97,0.99,23.96
5536-1,6/25/2014,Nora Paige,"85-113 Dunning Ave,Roseberry",Sydney,NSW,Small Business,3,Not Specified,99,Small Pack,Regular Air,6/25/2014,16.8,40.97,47,1925.59,0.06,115.54,1925.53,8.99,1934.52
5537-1,6/27/2014,Alejandro Ballentine,"412 Brunswick St,Fitzroy",Melbourne,VIC,Small Business,8,High,82,Small Pack,Regular Air,6/28/2014,1.46,3.57,46,164.22,0.01,1.64,164.21,4.17,168.38
5539-1,6/29/2014,Daniel Byrd,"127 Liverpool St,Sydney",Sydney,NSW,Home Office,2,Not Specified,97,Small Box,Regular Air,6/30/2014,4.53,7.3,50,365,0.02,7.3,364.98,7.72,372.7
5539-2,6/29/2014,Daniel Byrd,"127 Liverpool St,Sydney",Sydney,NSW,Home Office,2,Not Specified,131,Wrap Bag,Regular Air,6/30/2014,1.53,2.47,43,106.21,0.02,2.12,106.19,1.02,107.21
5541-1,6/29/2014,Christine Abelman,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Corporate,4,Medium,27,Small Box,Regular Air,6/29/2014,1.59,2.61,44,114.84,0.09,10.34,114.75,0.5,115.25
5544-1,6/29/2014,William Brown,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,9,Not Specified,132,Small Box,Regular Air,6/30/2014,14.7,29.99,20,599.8,0,0,599.8,5.5,605.3
5546-1,6/30/2014,Monica Federle,"834 Bourke St,Waterloo",Sydney,NSW,Corporate,10,Medium,49,Small Box,Regular Air,7/3/2014,8.92,29.74,4,118.96,0.05,5.95,118.91,6.64,125.55
5547-1,7/4/2014,Mike Gockenbach,"180 High Street,Windsor",Melbourne,VIC,Consumer,8,High,60,Wrap Bag,Regular Air,7/6/2014,3.32,5.18,43,222.74,0.03,6.68,222.71,2.04,224.75
5548-1,7/5/2014,James Galang,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Consumer,12,Critical,133,Small Box,Regular Air,7/8/2014,1.84,2.88,47,135.36,0.03,4.06,135.33,5.33,140.66
5549-1,7/11/2014,Sanjit Jacobs,"541 Church St,Richmond",Melbourne,VIC,Consumer,9,High,30,Small Box,Regular Air,7/13/2014,8.31,15.98,40,639.2,0.03,19.18,639.17,6.5,645.67
5551-1,7/12/2014,Raymond Book,"Shop 1, 186-190 Church Street,Parramatta;46a Macleay Street,Potts Point",Sydney,NSW,Consumer,3,Medium,134,Small Box,Regular Air,7/14/2014,1.82,2.84,19,53.96,0,0,53.96,5.44,59.4
5552-1,7/15/2014,Bobby Odegard,"240-242 Johnston Street,Fitzroy",Melbourne,VIC,Corporate,8,Not Specified,34,Small Pack,Regular Air,7/17/2014,1.87,8.12,4,32.48,0.07,2.27,32.41,2.83,35.24
5554-1,7/17/2014,Eric Barreto,"359 Crown Street,Surry Hills",Sydney,NSW,Small Business,4,High,127,Small Box,Regular Air,7/18/2014,2.76,4.38,18,78.84,0.03,2.37,78.81,6.21,85.02
5556-1,7/18/2014,Art Miller,"8 Quay Street,Haymarket",Sydney,NSW,Corporate,5,Medium,130,Small Box,Regular Air,7/19/2014,1.84,2.88,10,28.8,0.01,0.29,28.79,0.99,29.78
5558-1,7/18/2014,Julia Dunbar,"Qantas Domestic Terminal,Mascot",Sydney,NSW,Consumer,4,Low,135,Wrap Bag,Regular Air,7/20/2014,0.92,1.81,8,14.48,0.05,0.72,14.43,1.56,15.99
5558-2,7/18/2014,Julia Dunbar,"Qantas Domestic Terminal,Mascot",Sydney,NSW,Consumer,4,Low,136,Wrap Bag,Regular Air,7/25/2014,1.9,3.28,41,134.48,0.05,6.72,134.43,1.95,136.38
5560-1,7/22/2014,Gene Hale,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Consumer,5,Low,62,Small Box,Regular Air,7/24/2014,1.33,2.08,20,41.6,0.04,1.66,41.56,1.49,43.05
5562-1,7/24/2014,Sonia Sunley,"1/50-58 Hunter St,Sydney",Sydney,NSW,Small Business,14,Critical,57,Wrap Bag,Express Air,7/26/2014,1.6,2.62,25,65.5,0.09,5.9,65.41,0.8,66.21
5564-1,7/25/2014,Philip Brown,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Home Office,9,Low,64,Small Box,Regular Air,7/27/2014,1.98,3.15,46,144.9,0.1,14.49,144.8,0.49,145.29
5566-1,7/26/2014,Victoria Wilson,"1/160 Anzac Parade,Kensington",Sydney,NSW,Home Office,6,Low,113,Large Box,Regular Air,8/4/2014,377.99,599.99,25,14999.75,0.07,1049.98,14999.68,24.49,15024.17
5566-2,7/26/2014,Victoria Wilson,"1/160 Anzac Parade,Kensington",Sydney,NSW,Home Office,6,Low,57,Wrap Bag,Regular Air,8/2/2014,1.6,2.62,10,26.2,0.08,2.1,26.12,0.8,26.92
5569-1,7/28/2014,Maria Zettner,"531 King St,Newtown",Sydney,NSW,Corporate,3,Medium,25,Medium Box,Regular Air,7/30/2014,8.82,20.99,9,188.91,0.08,15.11,188.83,4.81,193.64
5570-1,7/30/2014,Keith Herrera,"120 Hardware St,Melbourne",Melbourne,VIC,Small Business,9,High,133,Small Box,Regular Air,7/31/2014,1.84,2.88,11,31.68,0.02,0.63,31.66,5.33,36.99
5572-1,7/30/2014,Mark Packer,"Sydney Fish Market, Bank Street, Sydney",Sydney,NSW,Small Business,4,High,36,Small Box,Regular Air,8/1/2014,13.88,22.38,34,760.92,0.01,7.61,760.91,15.1,776.01
5574-1,7/30/2014,Denny Joy,"99 Lygon Street,East Brunswick",Melbourne,VIC,Corporate,8,Medium,13,Small Box,Regular Air,8/1/2014,4.89,7.64,7,53.48,0.06,3.21,53.42,1.39,54.81
5576-1,8/3/2014,Shirley Jackson,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Corporate,14,Medium,84,Small Box,Regular Air,8/4/2014,3.5,5.74,7,40.18,0.04,1.61,40.14,5.01,45.15
5578-1,8/5/2014,Ed Ludwig,"221 Barkly St,St Kilda",Melbourne,VIC,Consumer,9,High,7,Wrap Bag,Regular Air,8/7/2014,1.09,2.6,43,111.8,0.06,6.71,111.74,2.4,114.14
5579-1,8/6/2014,Carol Adams,"181 Enmore Rd,Enmore",Sydney,NSW,Corporate,13,Low,74,Small Box,Regular Air,8/6/2014,3.65,5.98,32,191.36,0.1,19.14,191.26,1.49,192.75
5581-1,8/7/2014,John Lucas,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,1,Critical,60,Wrap Bag,Regular Air,8/9/2014,3.32,5.18,17,88.06,0.02,1.76,88.04,2.04,90.08
5583-1,8/11/2014,Benjamin Patterson,"1-2/299 Sussex St,Sydney",Sydney,NSW,Corporate,7,Critical,71,Wrap Bag,Regular Air,8/12/2014,0.24,1.26,2,2.52,0.06,0.15,2.46,0.7,3.16
5584-1,8/11/2014,Sara Luxemburg,"180 High Street,Windsor",Melbourne,VIC,Small Business,8,Critical,37,Wrap Bag,Regular Air,8/14/2014,21.56,36.55,24,877.2,0.07,61.4,877.13,13.89,891.02
5586-1,8/11/2014,Adrian Hane,"180 High Street,Windsor",Melbourne,VIC,Corporate,8,Medium,40,Wrap Bag,Regular Air,8/13/2014,3.75,7.08,47,332.76,0.1,33.28,332.66,2.35,335.01
5588-1,8/11/2014,Tonja Turnell,"221 Barkly St,St Kilda",Melbourne,VIC,Consumer,9,High,56,Wrap Bag,Express Air,8/13/2014,2.9,4.76,11,52.36,0.08,4.19,52.28,0.88,53.16
5589-1,8/12/2014,Brad Thomas,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Home Office,1,Low,28,Small Box,Regular Air,8/19/2014,6.39,19.98,5,99.9,0.09,8.99,99.81,4,103.81
5591-1,8/22/2014,Dorris Love,"359 Crown Street,Surry Hills",Sydney,NSW,Home Office,4,Not Specified,137,Small Box,Regular Air,8/23/2014,4.03,9.38,17,159.46,0.09,14.35,159.37,7.28,166.65
5593-1,8/25/2014,John Lee,"180 High Street,Windsor",Melbourne,VIC,Corporate,8,High,19,Small Pack,Regular Air,8/27/2014,5.5,12.22,37,452.14,0.09,40.69,452.05,2.85,454.9
